,incident_name,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created
1423,Sandalwood Fire,2019-10-10 15:38:44,"Unified Command: CAL FIRE/Riverside County Fire Department, City of Calimesa and City of Yucaipa",Riverside,Calimesa Boulevard and Sandalwood Drive,1011,"CAL FIRE/Riverside County Fire Department, City of Calimesa , City of Yucaipa",-117.05916699999999,33.9925,,,2019-10-10
1424,Plains Fire,2019-10-10 15:49:07,CAL FIRE Shasta-Trinity Unit,Shasta,Millville Plains Road and Sprig Road in Millville,42,,-122.19911,40.4988,2019-10-10 19:05:00,2019-10-10,2019-10-10
1425,Wolf Fire,2019-10-10 18:36:46,CAL FIRE/Riverside County Fire Department,Riverside,"Wolfskill Truck Road near Silver Creek Drive, south of Banning",75,CAL FIRE/Riverside County Fire Department,-116.897333,33.8615,2019-10-12 17:22:00,2019-10-12,2019-10-10
1426,Wendy Fire,2019-10-10 21:28:58,Ventura County Fire Department,Ventura,"Potrero Rd and S Wendy Dr, Newbury Park",91,Angeles National Forest,-118.950833,34.156389000000004,,,2019-10-10
1427,Saddle Ridge Fire,2019-10-10 21:02:00,Unified Command: Los Angeles County Fire Department and Los Angeles City Fire Department and Angeles National Forest,Los Angeles,"Saddle Ridge Rd, Sylmar",8799,"Los Angeles City Fire Department,  Cal Fire, LA Emergency Management Department (EMD), LA Department of Recreation and Parks (RAP), LA Department of Water and Power (DWP), SoCal Gas, California Highway Patrol (CHP), LA County Public Health Department, LA City Department of Animal Regulation, American Red Cross, LA Public Works, Southern California Edison, LA County Public Works Flood Control, Los Angeles Department of Transportation and MySafe:LA, Los Angeles County Fire Department , Angeles National Forest",-118.48161,34.329879999999996,2019-10-31 09:10:00,2019-10-31,2019-10-10
1428,Bitter Fire,2019-10-11 12:30:19,CAL FIRE San Luis Obispo County,San Luis Obispo,Highway 46 and Bitterwater Rd,30,,-120.31285600000001,35.709176,2019-10-11 16:21:00,2019-10-11,2019-10-11
1429,Caples Fire,2019-10-11 12:47:59,USFS El Dorado National Forest,El Dorado,Northern ridge above Caples Creek north of Highway 88,3435,USFS El Dorado National Forest,-120.145,38.724000000000004,,,2019-10-11
1430,Olivas Fire,2019-10-11 15:57:10,Ventura County Fire Department ,Ventura,"Olivas Park Drive, near the Buenaventura Golf Course",200,,-119.20187,34.23955,2019-10-12 18:00:00,2019-10-12,2019-10-11
1431,Horse Fire,2019-10-13 14:45:37,Bureau of Land Management - Northern California District,Lassen,"Shaffer Mountain, Northeast of Susanville in Lassen County",55,,-120.304341,40.387772,2019-10-16 13:44:00,2019-10-16,2019-10-13
1432,Johnson Fire ,2019-10-14 15:32:20,Bureau of Indian Affairs,Riverside,Johnson Street and Ave 82,75,Bureau of Indian Affairs,-116.05898,33.45148,2019-10-16 11:53:00,2019-10-16,2019-10-14
1433,Nustar Fire,2019-10-15 16:17:18,CAL FIRE Santa Clara Unit,Contra Costa,"San Pablo Ave and Cummings Skyway, Crockett",15,,-122.245186,38.045866,,,2019-10-15
1434,Fairmont Fire,2019-10-15 17:41:57,San Diego City Fire Department ,San Diego,"Off Fairmont Avenue and Aldine Drive, Northwest of Talmadge",10,San Diego City Fire Department ,-117.09744099999999,32.762706,2019-10-16 13:50:00,2019-10-16,2019-10-15
1435,Real Fire,2019-10-17 16:31:00,Santa Barbara County Fire Department,Santa Barbara,Calle Real & Hwy 101 west of El Capitan ,420,Santa Barbara County Fire,-120.19083300000001,34.484722,2019-10-21 06:00:00,2019-10-21,2019-10-17
1436,Grove Fire,2019-10-17 20:06:00,CAL FIRE Sonoma-Lake-Napa Unit,Lake,Hwy 29 and Spruce Grove Road in Lake County,25,,-122.604425,38.88913,,,2019-10-17
1437,Mud Fire ,2019-10-18 12:17:32,CAL FIRE Fresno-Kings Unit,Fresno,"Los Gatos Creek Road and Joaquin Rocks Lookout Road, east of Coalinga",137,,-120.46018899999999,36.319291,2019-10-19 15:00:00,2019-10-19,2019-10-18
1438,Beaumont Fire,2019-10-21 08:16:33,CAL FIRE San Bernardino Unit ,San Bernardino,Beaumont and San Timorese Canyon,11,,-117.21545,34.033117,2019-10-22 13:30:00,2019-10-22,2019-10-21
1439,Palisades Fire,2019-10-21 11:52:52,Los Angeles Fire Department ,Los Angeles,"North Palisades Dr., Pacific Palisades",42,Los Angeles Fire Department ,-118.55409099999999,34.055768,2019-10-31 14:16:00,2019-10-31,2019-10-21
1440,Oak Fire,2019-10-22 19:20:44,Camp Pendleton Marine Corps Base,San Diego,"Near Basilone Road and Las Pulgas Road, near Camp Pendleton North",0,"CAL FIRE San Diego, Camp Pendleton Marine Base",-117.403719,33.351145,,,2019-10-22
1441,Kincade Fire,2019-10-23 21:27:00,CAL FIRE Sonoma-Lake-Napa Unit,Sonoma,"John Kincade Road and Burned Mountain Road, northeast of Geyserville",77758,"Cooperating Agencies: Cooperating Agencies: Geyserville Fire Protection District, Numerous Sonoma County Fire Agencies, CDCR, Cal OES, CHP, CCC, Sonoma County Sheriff’s Department, BIA, BLM, California National Guard.",-122.78005300000001,38.792458,2019-11-06 19:00:00,2019-11-06,2019-10-23
1442,Old Water Fire,2019-10-24 04:53:17,San Bernardino County Fire,San Bernardino,near Old Waterman Canyon Road and Hwy 18. ,145,"San Bernardino National Forest, San Bernardino County Fire",-117.274276,34.183624,,,2019-10-24
1443,Muir Fire,2019-10-24 12:15:33,Marin County Fire,Marin,"Highway 1 and Panoramic Hwy, Stinson Beach",67,Marin County Fire,-122.636471,37.896231,,,2019-10-24
1444,Nelson Fire ,2019-10-24 14:43:10,CALFIRE/Butte County Fire ,Butte,Between Durham and Richvale,80,CALFIRE/Butte County Fire ,-121.80053799999999,39.551423,2019-10-24 17:15:00,2019-10-24,2019-10-24
1445,Tick Fire,2019-10-24 14:51:46,Los Angeles County Fire Department ,Los Angeles,"Tick Canyon Rd and Summit Knoll Rd, Canyon Country",4615,Los Angeles County Fire Department ,-118.36805600000001,34.472778000000005,,,2019-10-24
1446,Cabrillo Fire,2019-10-24 20:15:36,CAL FIRE San Mateo- Santa Cruz Unit,San Mateo,"Highway 1 and Gazos Creek Rd, south of Pescadero",62,CAL FIRE San Mateo- Santa Cruz Unit,-122.361112,37.166674,2019-10-27 12:11:00,2019-10-27,2019-10-24
1447,Mines Fire,2019-10-24 23:16:18,CAL FIRE Santa Clara Unit,Alameda,"Mines Rd and Del Valle Rd, southeast of Livermore",35,CAL FIRE Santa Clara Unit,-121.68598,37.62782,2019-10-27 13:55:00,2019-10-27,2019-10-24
1448,Sawday Fire ,2019-10-25 10:52:04,CALFIRE San Diego ,San Diego,"Sawday Truck Trail and Little Page Rd, Community of Witch Creek ",97,,-116.742508,33.055124,2019-10-28 19:31:00,2019-10-28,2019-10-25
1449,Miller Fire,2019-10-25 15:05:52,CAL FIRE San Diego County Fire,San Diego,"Miller Lane and Cole Grade Lane, North of Valley Center ",37,,-117.02733300000001,33.259861,2019-10-27 18:05:00,2019-10-27,2019-10-25
1450,Rawson Fire,2019-10-27 02:47:20,CAL FIRE Tehama-Glenn Unit,Tehama,"Gyle Road and Long Dirt Road, Northwest of Corning",605,,-122.25421000000001,40.001709999999996,2019-10-28 07:22:00,2019-10-28,2019-10-27
1451,Cypress Complex,2019-10-27 08:50:23, East Contra Costa County Fire Protection District,Contra Costa,"East Cypress Rd and Bethel Island Road, Knightsen, CA  ",200,,-121.64118,37.99136,2019-10-28 16:26:00,2019-10-28,2019-10-27
1452,Sky Fire ,2019-10-27 11:29:03,"Unified Command: CAL FIRE Santa Clara Unit, Crockett Fire and Contra Costa Fire. ",Contra Costa,"Commings Skyway and I-80, south of Crockett",150,"Santa Clara Unit, Contra Costa Fire",-122.2241,38.03545,2019-10-28 16:30:00,2019-10-28,2019-10-27
1453,Glencove Fire ,2019-10-27 11:52:15,Vallejo city fire,Solano,"Glen Cove Pkwy and Lookout Dr, south of Vallejo",140,Vallejo City Fire,-122.22463,38.07205,2019-10-28 16:28:00,2019-10-28,2019-10-27
1454,Burris Fire,2019-10-27 14:54:40,CAL FIRE Mendocino Unit,Mendocino,"Potter Valley Road and  Highway 20, east of Calpella in Mendocino County",703,CAL FIRE Mendocino Unit,-123.12886999999999,39.224309999999996,2019-11-03 18:52:00,2019-11-03,2019-10-27
1455,Forest Fire,2019-10-27 17:36:15,Contra Costa Fire Department ,Contra Costa,"Alhambra Ave and Alhambra Hills Dr, Martinez in Contra Costa County",50,,-122.11092,37.97911,2019-10-28 16:26:00,2019-10-28,2019-10-27
1456,Getty Fire ,2019-10-28 06:46:55, Los Angeles Fire Department,Los Angeles,East Sepulveda Blvd and I-405 near Los Angeles City ,745, Los Angeles Fire Department,-118.47871699999999,34.098191,2019-11-05 17:30:00,2019-11-05,2019-10-28
1457,Easy Fire,2019-10-30 07:45:14,Ventura County Fire Department,Ventura,"West Easy Street and West Los Angeles Avenue, Simi Valley",1806,"Ventura County Emergency, Ventura County Fire Department",-118.803389,34.282179,2019-11-02 18:57:00,2019-11-02,2019-10-30
1458,Hill Fire ,2019-10-30 11:19:00,CAL FIRE Riverside County Fire Department ,Riverside,"Granite Hill and Pyrite Street, in Jurupa Valley ",494,CAL FIRE: Riverside County Fire Department ,-117.4625,34.01778,2019-11-02 18:44:00,2019-11-02,2019-10-30
1459,46 Fire,2019-10-31 06:22:34,CAL FIRE Riverside County Fire Department,Riverside,"5300 block of 46th Street, East Jurupa Valley ",328, CAL FIRE Riverside County Fire Department,-117.414111,33.985972,2019-11-03 16:15:00,2019-11-03,2019-10-31
1460,Copper Fire,2019-10-31 06:39:56,CAL FIRE San Diego ,San Diego,"off of Border road and Canyon Road, Southeast of Chula Vista ",50,,-116.83458300000001,32.564583,,,2019-10-31
1461,Hillside Fire,2019-10-31 06:53:47,San Bernardino County Fire Department/ San Bernardino Nation Forest Service,San Bernardino,"off of W 59th and Hill Dr, in San Bernardino National Forest",200,"San Bernardino County Fire Department , San Bernardino National Forest Service ",-117.285,34.183,2019-11-05 09:03:00,2019-11-05,2019-10-31
1462,Maria Fire ,2019-10-31 20:58:28,Ventura County Fire Department ,Ventura,"off of Bradley Road and Solano Verde Dr, Top of South Mt, Santa Paula",9999,"Venture County Fire Department, Cooperating Agencies: Ventura County OES, Ventura County Animal Services, CHP, California Department of Corrections and Rehabilitation, Cal Resources Corporation, So Cal Gas, United Water, So Cal Edison, California Conservation Corps ",-118.997115,34.302212,2019-11-06 18:00:00,2019-11-06,2019-10-31
1463,Sobrante Fire ,2019-11-01 13:04:34,CAL FIRE Riverside County Fire Department ,Riverside,"off of La Sierra Ave and Tin Mine Road,  East of Corona ",19,CAL FIRE Riverside County Fire Department ,-117.46136299999999,33.849906,2019-11-01 08:55:00,2019-11-01,2019-11-01
1464,Ranch Fire,2019-11-03 14:16:17,CAL FIRE Tehama-Glenn Unit,Tehama,"Colyer Springs Rd and Raglin Ridge Rd, southwest of Red Bluff",2534,"Cooperating Agencies: California Department of Corrections, Tehama County Sheriffs Department, Bureau of Land Management, Tehama County Fire Dept. El Camino Co. 9, Mendocino National Forest, CHP, California Office of Emergency Services, Tehama County Public Works",-122.637837,40.036379,2019-11-14 18:02:00,2019-11-14,2019-11-03
1465,Eagle Fire,2019-11-05 06:52:14,CAL FIRE Sonoma-Lake-Napa Unit,Lake,"Walker Ridge Road and Bartlett Springs Road, northeast of Clearlake",75,,-122.496548,39.100408,2019-11-06 18:30:00,2019-11-06,2019-11-05
1466,Foothills Fire,2019-11-25 12:39:44,CAL FIRE Nevada-Yuba-Placer Unit,Placer,"Foothills and McAnally Drive, northwest of Roseville",355,,-121.325842,38.838992,,,2019-11-25
1467,Cashe Fire ,2019-11-25 12:02:02,Yolo County Fire Protection District,Yolo,"County Road 102 and County Road 17, North of Woodland",0,,-121.72969099999999,38.734634,,,2019-11-25
1468,Cave Fire (No Longer a CAL FIRE Incident),2019-11-25 19:59:12,Los Padres National Forest,Santa Barbara,Highway 154 and E Camino Cielo near Painted Cave in the Los Padres National Forest,3126,"Santa Barbara County Fire Department, CAL FIRE San Luis Obispo Unit",-119.785,34.5025,2019-12-14 08:22:00,2019-12-14,2019-11-25
1469,Bear Fire ,2020-02-15 17:48:27,CAL FIRE Humboldt-Del Norte Unit,Humboldt,"Bear Creek Road and Anderson Ford Road, Northwest of Highway 36 at Dinsmore",15,,-123.63784109999999,40.511092,,,2020-02-15
1470,Antelope Fire,2020-02-17 15:04:08,USFS Tahoe National Forest,Sierra,"Hwy 49 and Fillippini Road, Sierraville",102,,-120.3291855,39.6923001,2020-02-20 14:40:00,2020-02-20,2020-02-17
1471,Beegum Fire,2020-02-23 08:35:30,CAL FIRE Tehama-Glenn Unit,Tehama,"Off of Highway 36 West and Tedoc Rd, West of Red Bluff",75,,-122.84722222,40.33583333,2020-02-24 14:32:00,2020-02-24,2020-02-23
1472,Wood Fire,2020-02-23 17:50:20,Bureau of Land Management,Lassen,"Off Horselake Road and Woodranch Road, East of Susanville",57,Bureau of Land Management,-120.49391999999999,40.62155,2020-02-23 14:45:00,2020-02-23,2020-02-23
1473,Baseball Fire,2020-02-25 14:17:21,Mendocino National Forest,"Glenn, Mendocino","Off Atchison Creek, East of Covelo",211,Mendocino National Forest ,-122.94111111,39.75638899,2020-03-03 11:21:00,2020-03-03,2020-02-25
1474,Grizzly Fire,2020-03-02 14:08:05,CAL FIRE Tehama-Glenn Unit ,Glenn,"Grizzly Flat Recreation Area, west of Orland",154,,-122.38453200000001,39.774968,2020-03-05 07:26:00,2020-03-05,2020-03-02
1475,Mann Fire,2020-03-03 11:13:50,CAL FIRE/ Riverside County Fire Department,Riverside,"Santa Ana Riverbottom near California Ave and Grulla Ct,  South of Jurupa Valley ",180,CAL FIRE/ Riverside County Fire Department,-117.51793,33.969570000000004,,,2020-03-03
1476,Baker Fire,2020-03-03 15:20:43,Tahoe National Forest,Yuba,"Near Bullards Bar Reservoir, West of Camptonville ",0,Tahoe National Forest ,-121.12381,39.45493,,,2020-03-03
1477,South Main Fire,2020-03-06 12:44:00,CAL FIRE / Riverside County Fire,Riverside,"Off South Main Divide & Hacienda Rd, El Cariso",20,,-117.40906000000001,33.65263,,,2020-03-06
1478,Carter Fire ,2020-04-04 20:22:08,Imperial County Fire Departmant,Imperial,"Off Austin Road  and Weaver Road, South of Brawley",275,Imperial County Fire Departmant,-115.5865,32.93432,2020-04-12 13:51:00,2020-04-12,2020-04-04
1479,Red Fire ,2020-04-23 20:52:04,CAL FIRE Tehama-Glenn Unit,Tehama,"Red Bank Road, Southwest of Red Bluff",26,,-122.43905,40.09554,2020-04-24 09:53:00,2020-04-24,2020-04-23
1480,Bar Fire,2020-04-25 14:59:00,CAL FIRE Shasta-Trinity Unit,Trinity,Bar K Rd & Shady Creek Lane in Douglas City,55,,-122.97693000000001,40.63442,,,2020-04-25
1481,Byron Fire,2020-04-27 14:59:04,Contra Costa Fire Protection District,Contra Costa,"Byron Highway and Bruns Ave, southeast of Byron",47,Contra Costa Fire Protection District,-121.595225,37.82066,2020-04-27 20:33:00,2020-04-27,2020-04-27
1482,Interstate 5 Fire,2020-05-03 15:52:04,Kings County Fire Department,Kings,"Interstate 5 & Avenal Cutoff, south of Fresno County line",2060,Kings County Fire Department,-120.106407,36.075003,2020-05-03 13:31:00,2020-05-03,2020-05-03
1483,Hollister Fire,2020-05-07 08:10:19,Santa Barbara County Fire Department,Santa Barbara,"Hollister Ranch, West of Goleta in Gaviota",156,Santa Barbara County Fire Department,-120.29378999999999,34.47438,2020-05-09 13:50:00,2020-05-09,2020-05-07
1484,Candy Fire,2020-05-08 14:46:20,CAL FIRE/Butte County Fire,Butte,"Candy Cane Ln and Apache Hill Rd, west of Palermo",17,CAL FIRE/Butte County Fire,-121.47273,39.42208,2020-05-08 15:21:00,2020-05-08,2020-05-08
1485,Gilman Fire,2020-05-18 13:38:14,CAL FIRE / Riverside County Fire ,Riverside,"Gilman Springs Road and Slegers Street, Southeast of Moreno Valley",20,CAL FIRE / Riverside County Fire ,-117.02411399999998,33.861053999999996,2020-05-18 18:11:00,2020-05-18,2020-05-18
1486,Acres Fire,2020-05-21 11:30:00,CAL FIRE Madera-Mariposa-Merced Unit,Madera,Near Road 602 and Road 603,152,,-119.982359,37.11715,,,2020-05-21
1487,Spanish Fire ,2020-05-22 15:27:09,CAL FIRE Sonoma Lake Napa Unit ,Napa,"Spanish Valley Trail and Stagecoach Canyon, Northwest of Lake Berryessa",20,,-122.40363400000001,38.697834,2020-05-23 14:00:00,2020-05-23,2020-05-22
1488,Range Fire,2020-05-27 19:33:55,Department of Defense,San Luis Obispo,Range M22 Camp Roberts Military Reserve,5000,Department of Defense,-120.70523999999999,35.34237,2020-05-28 06:45:00,2020-05-28,2020-05-27
1489,Harley Fire,2020-05-28 17:08:59,CAL FIRE / Riverside County Fire ,Riverside,"19000 Block of Gustin Road, East of Lake Mathews",60,,-117.34933999999998,33.83167,2020-05-28 20:30:00,2020-05-28,2020-05-28
1490,Creek Fire,2020-05-30 17:48:59,CAL FIRE Santa Clara Unit,Contra Costa,"Round Valley Regional Park,  southwest of  Brentwood in Contra Costa County",60,,-86.8616,35.9994,,,2020-05-30
1491,Scorpion Fire,2020-05-31 18:09:09,,Santa Barbara,Scorpion Valley on Santa Cruz Island in Santa Barbara county,1395,Channel Islands National Park,-119.74577,34.01389,,,2020-05-31
1492,Acres Fire,2020-06-01 15:29:05,CAL FIRE Madera-Mariposa-Merced Unit,Madera,"Road 600 and Road 603,",237,,-119.93221000000001,37.11806,,,2020-06-01
1493,Amoruso Fire,2020-06-01 15:52:43,"Unified command: CAL FIRE, Placer County Fire Department and Placer County Sheriffs Office",Placer,"Sunset Blvd West and Amoruso Way, southwest of Lincoln",650,,-121.39086200000001,38.824371,,,2020-06-01
1494,Nash Fire,2020-06-01 17:41:59,CAL FIRE Mendocino Unit,Mendocino,Nash Mill Rd and Big Meadow Rd,10,,-123.48018,39.1296,,,2020-06-01
1495,Horn Fire ,2020-06-02 17:01:52,Northern California District - Susanville,Lassen,"Horn Road and Mail Route Road, east of Ravendale in Lassen County. ",37,,-120.288882,40.809323,2020-06-02 18:33:00,2020-06-02,2020-06-02
1496,Smoketree Fire,2020-06-02 19:38:16,City of Palm Springs City Fire/ California Desert District,Riverside,East Murray Canyon Dr and S Toledo Ave,129,,-116.524014,33.782532,2020-06-07 08:34:00,2020-06-07,2020-06-02
1497,Wildlife Fire,2020-06-03 18:26:25,Suisun City Fire Department,Solano,Kellogg St and Maple St,300,,-122.042199,38.232281,2020-06-04 09:26:00,2020-06-04,2020-06-03
1498,Silver Fire,2020-06-04 07:38:05,CAL FIRE Santa Clara Unit,Santa Clara,"Dutch Flat Trail, East of San Jose",19,,-121.726223,37.329163,,,2020-06-04
1499,Brock Fire,2020-06-04 16:36:17,U.S Forest Service - Shasta-Trinity National Forest,Shasta,"Lake Shasta, West of Round Mountain",15,,-122.09793300000001,40.837885,2020-06-04 07:30:00,2020-06-04,2020-06-04
1500,Colleen Fire,2020-06-04 19:36:47,Unified Command: CAL FIRE Santa Clara Unit and City of San Jose,Santa Clara,"Colleen Dr, South San Jose",126,City of San Jose,-121.851895,37.229703,2020-06-07 07:42:00,2020-06-07,2020-06-04
1501,Karchner Fire,2020-06-05 09:04:00,CAL FIRE Nevada Yuba Placer Unit ,Placer,"Karchner Road and Riosa Road, East of Wheatland",39,,-121.340239,38.98487,2020-06-05 12:32:00,2020-06-05,2020-06-05
1502,Lakeville Fire,2020-06-05 16:56:55,CAL FIRE Sonoma Lake Napa Unit ,Sonoma,"Lakeville Highway and Stage Gulch Road, Southeast of Petaluma",141,,-122.54981599999999,38.224849,2020-06-06 18:37:00,2020-06-06,2020-06-05
1503,McGary Fire ,2020-06-05 17:09:00,Cordelia Fire Department,Solano,"McGary Road and Highway 80, Southwest of Cordelia",79,Cordelia Fire Department,-122.15631299999998,38.196892999999996,2020-06-05 15:10:00,2020-06-05,2020-06-05
1504,Gulch Fire,2020-06-06 16:19:20,CAL FIRE Sonoma Lake Napa Unit ,Sonoma,"Stage Gulch Road and  Lakeville Highway, North of Lakeville",107,,-122.536406,38.216134000000004,2020-06-08 18:30:00,2020-06-08,2020-06-06
1505,Quail Fire,2020-06-06 16:36:26,CALFIRE Sonoma Lake Napa Unit ,Solano,"Quail Canyon Road and Pleasants Valley Road, Southwest of Winters",1837,"Cooperating Agencies: Vacaville City FD, Vacaville FPD, Montezuma FPD, Vallejo, Suisun City FD, Suisun FPD, Fairfield FP, Dixon FD, CDCR Vacaville, Cordelia FPD, Madison FPD, Winters FD Strike teams from: Contra Costa County, Marin County, San Francisco County",-122.03820800000001,38.470809,2020-06-10 07:48:00,2020-06-10,2020-06-06
1506,Willow Fire ,2020-06-06 18:00:51,CALFIRE Santa Clara Unit ,Contra Costa,"Willow Pass Court and Evora Road, Northeast of Concord",100,,-122.00281100000001,37.994368,2020-06-07 07:52:00,2020-06-07,2020-06-06
1507,Bitterwater Fire,2020-06-07 14:43:51,CAL FIRE San Benito-Monterey,Monterey,"off Bitterwater road, northeast of King City in Monterey County. ",211,,-121.0781,36.2644,,,2020-06-07
1508,Hunters Fire,2020-06-07 19:15:00,CAL FIRE Madera-Mariposa-Merced Unit,Mariposa, Hunters Valley Road and Detwiler Road in Mariposa County. ,85,,-120.21545400000001,37.61955,2020-06-10 07:03:00,2020-06-10,2020-06-07
